title,authors,year,venue,doi,pdfUrl,landingUrl,abstract,source,id
Evaluating Retrieval Quality in Retrieval-Augmented Generation,Alireza Salemi; Hamed Zamani,2024,,https://doi.org/10.1145/3626772.3657957,https://doi.org/10.1145/3626772.3657957,https://doi.org/https://doi.org/10.1145/3626772.3657957,,openalex,https://openalex.org/W4400526126
LightRAG: Simple and Fast Retrieval-Augmented Generation,Zirui Guo; Lianghao Xia; Yanhua Yu; Tu Ao; Chao Huang,2025,,https://doi.org/10.18653/v1/2025.findings-emnlp.568,https://aclanthology.org/2025.findings-emnlp.568.pdf,https://doi.org/https://doi.org/10.18653/v1/2025.findings-emnlp.568,,openalex,https://openalex.org/W4416034797
Evaluation of Retrieval-Augmented Generation: A Survey,Hao Yu; Aoran Gan; Kai Zhang; Shiwei Tong; Qi Liu; Zhaofeng Liu,2025,Communications in computer and information science,https://doi.org/10.1007/978-981-96-1024-2_8,,https://doi.org/https://doi.org/10.1007/978-981-96-1024-2_8,,openalex,https://openalex.org/W4406771321
Retrieval‐Augmented Generation,,2026,Advanced Retrieval‐Augmented Generation,10.1002/9781394374717.ch03,,https://doi.org/10.1002/9781394374717.ch03,,crossref,10.1002/9781394374717.ch03
Graph‐based Retrieval‐augmented Generation,,2026,Advanced Retrieval‐Augmented Generation,10.1002/9781394374717.ch07,,https://doi.org/10.1002/9781394374717.ch07,,crossref,10.1002/9781394374717.ch07
Why Retrieval Augmented Generation?,,2024,RAG-Driven Generative AI,10.5040/bci-0kgd.ch-1,,https://doi.org/10.5040/bci-0kgd.ch-1,,crossref,10.5040/bci-0kgd.ch-1
Efficient Information Retrieval and Response Generation with Retrieval-Augmented Generation (RAG),Wenyi Pi,2024,,10.59350/q2pq3-0fv85,,https://doi.org/10.59350/q2pq3-0fv85,,crossref,10.59350/q2pq3-0fv85
"A Comparative Study of Retrieval-Augmented Generation, Graph Retrieval-Augmented Generation, and Fine-Tuned Large Language Models for Fire Engineering Knowledge Retrieval",Xingzhuo Xue; Guowei Zhang; Liming Jiang; Chunyuan Liu,2025,,10.2139/ssrn.5316632,,https://doi.org/10.2139/ssrn.5316632,,crossref,10.2139/ssrn.5316632
Introduction to Retrieval-Augmented Generation (RAG),Ranajoy Bose,2025,Mastering Retrieval-Augmented Generation,10.1007/979-8-8688-1808-0_1,,https://doi.org/10.1007/979-8-8688-1808-0_1,,crossref,10.1007/979-8-8688-1808-0_1
Building a Retrieval-Augmented Generation (RAG) Application,Ranajoy Bose,2025,Mastering Retrieval-Augmented Generation,10.1007/979-8-8688-1808-0_3,,https://doi.org/10.1007/979-8-8688-1808-0_3,,crossref,10.1007/979-8-8688-1808-0_3
Core Concepts of Retrieval-Augmented Generation (RAG),Ranajoy Bose,2025,Mastering Retrieval-Augmented Generation,10.1007/979-8-8688-1808-0_2,,https://doi.org/10.1007/979-8-8688-1808-0_2,,crossref,10.1007/979-8-8688-1808-0_2
